tmvcodigo;tmvdescricao;tmvatualiza
2250;"VW/ENSEADA PLUS                                   ";"N"
2251;"VW/ENSEADA TUPY                                   ";"N"
2252;"VW/ENSEADA P-I                                    ";"N"
2253;"VLM                                               ";"N"
2254;"VW/COBRA                                          ";"N"
2255;"VW/SAARA                                          ";"N"
2256;"BRASFIBRA/HAPPY                                   ";"N"
2257;"PROSPECTA/SABRE                                   ";"N"
2258;"IMP/ANPHIFAR *******                              ";"N"
2259;"VW/MG DESIGN                                      ";"N"
226;"IMP/YAMAHA XTZ 750                                ";"N"
2260;"GM/MG DESIGN SV 500                               ";"N"
2261;"MIG/TAIBA                                         ";"N"
2262;"MIG/TAIBA TR                                      ";"N"
2263;"FIBRAC/VALENTE I                                  ";"N"
2264;"FYBERLINE/SAARA                                   ";"N"
2265;"FORD/VERONA LX                                    ";"N"
2266;"FORD/VERONA GLX                                   ";"N"
2267;"FORD/VERONA 1.8 LX                                ";"N"
2268;"FORD/VERONA 1.8 GLX                               ";"N"
2269;"FORD/VERONA 2.0 GLX                               ";"N"
227;"IMP/YAMAHA TDM 850                                ";"N"
2270;"FORD/VERONA 2.0I GHIA                             ";"N"
2271;"FORD/VERONA 2.0I GLX                              ";"N"
2272;"FORD/VERONA 1.8I GLX                              ";"N"
2273;"FORD/VERONA 1.8I LX                               ";"N"
2274;"FORD/VERONA 1.8I GL                               ";"N"
2275;"FORD/VERONA 2.0I S                                ";"N"
2276;"QUASAR/SPORT                                      ";"N"
2277;"QUASAR/RUNNER                                     ";"N"
2278;"QUASAR/FIERA 40                                   ";"N"
2279;"VW/QUASAR SPORT                                   ";"N"
228;"IMP/YAMAHA XV 1100                                ";"N"
2280;"VW/QUASAR RUNNER                                  ";"N"
2281;"ENGESA/ENVEMO CAMPER                              ";"N"
2282;"GM/BABY 138                                       ";"N"
2283;"IMP/SUBARU LEGACY 1.8 GL                          ";"N"
2284;"IMP/SUBARU LEGACY 2.2 GX                          ";"N"
2285;"IMP/SUBARU LEGACY TW 2.2                          ";"N"
2286;"IMP/SUBARU SVX 3.3                                ";"N"
2287;"IMP/SUBARU IMPREZA 1.6 GL                         ";"N"
2288;"IMP/SUBARU IMPREZA 1.8 GL                         ";"N"
2289;"IMP/SUBARU IMPREZA SW                             ";"N"
229;"IMP/YAMAHA VMAX 1200                              ";"N"
2290;"IMP/SUBARU LEGACY TW 2.0                          ";"N"
2291;"IMP/SUBARU LEGACY 2.0 GL                          ";"N"
2292;"IMP/SUBARU VIVIO GLI                              ";"N"
2293;"IMP/SUBARU IMPREZA GT4WD                          ";"N"
2294;"IMP/SUBARU IMPREZA SWGL4                          ";"N"
2295;"IMP/SUBARU IMPREZA GL184                          ";"N"
2296;"IMP/SUBARU IMPREZA GL16                           ";"N"
2297;"IMP/SUBARU IMPREZA GL18F                          ";"N"
2298;"IMP/SUBARU IMPREZA GL204                          ";"N"
2299;"IMP/SUBARU IMPREZA GL20F                          ";"N"
23;"BP/PONEY                                          ";"N"
230;"IMP/YAMAHA XJR 1200                               ";"N"
2300;"IMP/SUBARU IMPREZA SWGL4                          ";"N"
2301;"IMP/SUBARU IMPREZA SWGLF                          ";"N"
2302;"IMP/SUBARU LEGACY SW0B25                          ";"N"
2303;"IMP/SUBARU LEGACY GX25                            ";"N"
2304;"IMP/SUBARU LEGACY SWGX25                          ";"N"
2305;"IMP/SUBARU FORESTER 4WD                           ";"N"
2306;"IMP/SUBARU LEGACY GL4D                            ";"N"
2307;"IMP/SUBARU LEGACY TWGL4D                          ";"N"
2308;"IMP/SUBARU LEGACY SWOB25                          ";"N"
2309;"IMP/SUBARU                                        ";"N"
231;"IMP/YAMAHA VIRAGO                                 ";"N"
2310;"IMP/GIGULI                                        ";"N"
2311;"IMP/LADA SAMARA                                   ";"N"
2312;"IMP/LADA NIVA 1.6 4X4                             ";"N"
2313;"IMP/LADA LAIKA 1.6                                ";"N"
2314;"IMP/LADA LAIKA SW 1.6                             ";"N"
2315;"IMP/LADA NIVA PANTANAL                            ";"N"
2316;"IMP/LADA SAMARA 1.5                               ";"N"
2317;"IMP/LADA NIVA 1.7I                                ";"N"
2318;"IMP/LADA                                          ";"N"
2319;"IMP/AMC *****                                     ";"N"
232;"IMP/YAMAHA BWS                                    ";"N"
2320;"IMP/AMC *******                                   ";"N"
2321;"IMP/HORNET                                        ";"N"
2322;"IMP/MMC LANCER LS                                 ";"N"
2323;"IMP/MMC GALANT GS                                 ";"N"
2324;"IMP/MMC ECLIPSE GS                                ";"N"
2325;"IMP/MMC DIAMANTE                                  ";"N"
2326;"IMP/MMC 3000GT VR4                                ";"N"
2327;"IMP/MMC 3000GT SL                                 ";"N"
2328;"IMP/MMC EXPO SP                                   ";"N"
2329;"IMP/MMC PAJERO GLS                                ";"N"
233;"IMP/YAMAHA VIRAGO 535 S                           ";"N"
2330;"IMP/MMC PAJERO GLX                                ";"N"
2331;"IMP/MMC PAJERO GLZ                                ";"N"
2332;"IMP/MMC GALANT ES                                 ";"N"
2333;"IMP/MMC SPACE W GLXI                              ";"N"
2334;"IMP/MMC GALANT V6-24                              ";"N"
2335;"IMP/MMC LANCER GLXI                               ";"N"
2336;"IMP/MMC LANCER GTI                                ";"N"
2337;"IMP/MMC PAJERO GLS-B                              ";"N"
2338;"IMP/MMC PAJERO GLX-B                              ";"N"
2339;"IMP/MMC COLT GLXI                                 ";"N"
234;"IMP/YAMAHA VIRAGO 750                             ";"N"
2340;"IMP/MMC COLT GTI                                  ";"N"
2341;"IMP/MMC ECLIPSE GSX                               ";"N"
2342;"IMP/MMC 3000 GT                                   ";"N"
2343;"IMP/MMC ECLIPSE GS T                              ";"N"
2344;"IMP/MMC LANCER GLX                                ";"N"
2345;"IMP/MMC COLT GLX                                  ";"N"
2346;"IMP/MMC MONTERO SPORT LS                          ";"N"
2347;"IMP/MMC GALANT VR                                 ";"N"
2348;"IMP/MMC GALANT S.SALOON                           ";"N"
